home_id,price,area,living_area,kitchen_area,number_of_rooms,status,furnishing_status,bathroom,floor,total_floors,built_year,address,with_makler,home_ad_link
49,66000.0,68.0,68.0,25.0,2,new,unfurnished,shared,8,10,2023.0,Uchtepa,False,https://www.olx.uz/d/oz/obyavlenie/uchtepa-tumani-uy-sotiladi-2-8-10-eski-uy-bozir-ornida-qurilga-68-8-kv-ID43pdj.html
50,17500.0,35.39,35.39,35.39,1,new,unfurnished,private,8,10,2024.0,Chirchiq,False,https://www.olx.uz/d/oz/obyavlenie/karvon-bozorda-yanqi-qurilgan-uylarda-1-2-xonalik-uylarimiz-bor-ID44lwQ.html
51,52500.0,54.0,43.2,10.8,2,new,furnished,,8,10,,Uchtepa,False,https://www.olx.uz/d/oz/obyavlenie/zhuda-arzon-narxda-2-xona-uj-gisht-novostrojka-kadastr-bor-srochno-ID43kyJ.html
52,57000.0,72.9,58.32,14.58,2,new,unfurnished,shared,10,11,2024.0,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/2-xona-novastroyka-sotiladi-ID3Jgsz.html
53,25000.0,123.0,123.0,123.0,3,new,unfurnished,private,2,2,1960.0,Oqqo'rg'on,True,https://www.olx.uz/d/oz/obyavlenie/akkurgan-uj-sotiladi-26ming-ID3IDrJ.html
54,49000.0,43.0,43.0,43.0,2,new,unfurnished,shared,6,7,2018.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/2-xonali-43kv-m-srochna-ID43A0M.html
55,39000.0,40.0,32.0,8.0,1,new,furnished,private,2,12,2023.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/metro-1-bekat-100-metr-sergeli-choshtepa-1-2-12-40-m-39-000-srochno-ID42ZMS.html
56,125000.0,70.0,70.0,35.0,3,new,furnished,shared,7,7,2020.0,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/yakkasaroy-novastroy-dubleks-kvartira-sotuvda-70kv-3xona-2ta-sanuzl-ID3UtlJ.html
57,47000.0,72.0,72.0,14.4,3,new,unfurnished,,7,9,2024.0,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/kvartira-v-novom-zhk-ID43mud.html
58,85000.0,96.0,76.8,19.2,4,new,unfurnished,shared,9,10,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/yakkasaroy-solaris-4-9-10-dupleks-96m2-60-tayyor-remont-ID44dzc.html
59,30000.0,45.0,27.0,10.0,2,new,furnished,shared,2,2,1980.0,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/ikki-xonali-kvartira-sotiladi-ID433dV.html
60,58000.0,40.0,32.0,8.0,2,new,furnished,shared,4,5,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/svoya-assalom-xavo-2-4-5-golden-house-40m2-ID3EJPB.html
